system,label,metric,score,split,prediction_files,verification_status
xlmr_large,XLM-R-large,idiom_figurative,97.2958,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260522.jsonl,complete
xlmr_large,XLM-R-large,code_switching,72.1584,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260522.jsonl,complete
xlmr_large,XLM-R-large,mocking,80.7996,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260522.jsonl,complete
xlmr_large,XLM-R-large,macro_pragmatic_f1,80.8165,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/xlmr_large/20260522.jsonl,complete
sailor_7b_sft,Sailor-7B SFT,implicit_sentiment,57.433,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260522.jsonl,complete
sailor_7b_sft,Sailor-7B SFT,sarcasm,78.5726,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260522.jsonl,complete
sailor_7b_sft,Sailor-7B SFT,irony,97.4132,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260522.jsonl,complete
sailor_7b_sft,Sailor-7B SFT,idiom_figurative,97.1479,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260522.jsonl,complete
sailor_7b_sft,Sailor-7B SFT,code_switching,81.2781,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260522.jsonl,complete
sailor_7b_sft,Sailor-7B SFT,mocking,81.3063,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260522.jsonl,complete
sailor_7b_sft,Sailor-7B SFT,macro_pragmatic_f1,82.1918,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/sailor_7b_sft/20260522.jsonl,complete
vistral_7b_sft,Vistral-7B SFT,implicit_sentiment,59.5888,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260522.jsonl,complete
vistral_7b_sft,Vistral-7B SFT,sarcasm,80.0318,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260522.jsonl,complete
vistral_7b_sft,Vistral-7B SFT,irony,97.0536,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260522.jsonl,complete
vistral_7b_sft,Vistral-7B SFT,idiom_figurative,96.35,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260522.jsonl,complete
vistral_7b_sft,Vistral-7B SFT,code_switching,81.9458,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260522.jsonl,complete
vistral_7b_sft,Vistral-7B SFT,mocking,81.9802,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260522.jsonl,complete
vistral_7b_sft,Vistral-7B SFT,macro_pragmatic_f1,82.825,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vistral_7b_sft/20260522.jsonl,complete
gpt41_mini_zero_shot,GPT-4.1-mini zero-shot,implicit_sentiment,22.6988,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_zero_shot/20260520.jsonl,complete
gpt41_mini_zero_shot,GPT-4.1-mini zero-shot,sarcasm,72.8955,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_zero_shot/20260520.jsonl,complete
gpt41_mini_zero_shot,GPT-4.1-mini zero-shot,irony,64.8924,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_zero_shot/20260520.jsonl,complete
gpt41_mini_zero_shot,GPT-4.1-mini zero-shot,idiom_figurative,74.1156,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_zero_shot/20260520.jsonl,complete
gpt41_mini_zero_shot,GPT-4.1-mini zero-shot,code_switching,62.3234,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_zero_shot/20260520.jsonl,complete
gpt41_mini_zero_shot,GPT-4.1-mini zero-shot,mocking,67.0813,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_zero_shot/20260520.jsonl,complete
gpt41_mini_zero_shot,GPT-4.1-mini zero-shot,macro_pragmatic_f1,60.6678,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_zero_shot/20260520.jsonl,complete
gpt41_mini_8_shot,GPT-4.1-mini 8-shot,implicit_sentiment,44.7388,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_8_shot/20260520.jsonl,complete
gpt41_mini_8_shot,GPT-4.1-mini 8-shot,sarcasm,73.7327,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_8_shot/20260520.jsonl,complete
gpt41_mini_8_shot,GPT-4.1-mini 8-shot,irony,72.715,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_8_shot/20260520.jsonl,complete
gpt41_mini_8_shot,GPT-4.1-mini 8-shot,idiom_figurative,94.4196,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_8_shot/20260520.jsonl,complete
gpt41_mini_8_shot,GPT-4.1-mini 8-shot,code_switching,59.6203,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_8_shot/20260520.jsonl,complete
gpt41_mini_8_shot,GPT-4.1-mini 8-shot,mocking,70.1289,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_8_shot/20260520.jsonl,complete
gpt41_mini_8_shot,GPT-4.1-mini 8-shot,macro_pragmatic_f1,69.2259,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/gpt41_mini_8_shot/20260520.jsonl,complete
vipragsent_full,ViPragSent (ours),implicit_sentiment,46.9214,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260522.jsonl,complete
vipragsent_full,ViPragSent (ours),sarcasm,75.6892,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260522.jsonl,complete
vipragsent_full,ViPragSent (ours),irony,96.9829,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260522.jsonl,complete
vipragsent_full,ViPragSent (ours),idiom_figurative,97.2365,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260522.jsonl,complete
vipragsent_full,ViPragSent (ours),code_switching,47.6303,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260522.jsonl,complete
vipragsent_full,ViPragSent (ours),mocking,78.0213,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260522.jsonl,complete
vipragsent_full,ViPragSent (ours),macro_pragmatic_f1,73.7469,adjudicated_test,/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260520.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260521.jsonl|/root/paper/artifact/vipragsent-repro/results/predictions/main_pragmatic/vipragsent_full/20260522.jsonl,complete
