anchor,claim,source_file,json_path,source_sha256
Table2.xlmr_large.irony,"XLM-R-large irony = 96.85 [96.51, 97.20]",results/main_pragmatic.json,$.systems.xlmr_large.metrics.irony.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.xlmr_large.macro_pragmatic_f1,"XLM-R-large macro_pragmatic_f1 = 80.82 [79.46, 82.17]",results/main_pragmatic.json,$.systems.xlmr_large.metrics.macro_pragmatic_f1.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.xlmr_large.mocking,"XLM-R-large mocking = 80.80 [80.08, 81.51]",results/main_pragmatic.json,$.systems.xlmr_large.metrics.mocking.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.xlmr_large.sarcasm,"XLM-R-large sarcasm = 79.49 [79.10, 79.88]",results/main_pragmatic.json,$.systems.xlmr_large.metrics.sarcasm.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.sailor_7b_sft.code_switching,"Sailor-7B SFT code_switching = 81.28 [80.12, 82.43]",results/main_pragmatic.json,$.systems.sailor_7b_sft.metrics.code_switching.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.sailor_7b_sft.idiom_figurative,"Sailor-7B SFT idiom_figurative = 97.15 [96.67, 97.63]",results/main_pragmatic.json,$.systems.sailor_7b_sft.metrics.idiom_figurative.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.sailor_7b_sft.implicit_sentiment,"Sailor-7B SFT implicit_sentiment = 57.43 [56.35, 58.51]",results/main_pragmatic.json,$.systems.sailor_7b_sft.metrics.implicit_sentiment.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.sailor_7b_sft.irony,"Sailor-7B SFT irony = 97.41 [97.21, 97.61]",results/main_pragmatic.json,$.systems.sailor_7b_sft.metrics.irony.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.sailor_7b_sft.macro_pragmatic_f1,"Sailor-7B SFT macro_pragmatic_f1 = 82.19 [81.94, 82.44]",results/main_pragmatic.json,$.systems.sailor_7b_sft.metrics.macro_pragmatic_f1.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.sailor_7b_sft.mocking,"Sailor-7B SFT mocking = 81.31 [80.54, 82.07]",results/main_pragmatic.json,$.systems.sailor_7b_sft.metrics.mocking.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.sailor_7b_sft.sarcasm,"Sailor-7B SFT sarcasm = 78.57 [78.27, 78.87]",results/main_pragmatic.json,$.systems.sailor_7b_sft.metrics.sarcasm.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vistral_7b_sft.code_switching,"Vistral-7B SFT code_switching = 81.95 [81.48, 82.42]",results/main_pragmatic.json,$.systems.vistral_7b_sft.metrics.code_switching.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vistral_7b_sft.idiom_figurative,"Vistral-7B SFT idiom_figurative = 96.35 [96.23, 96.47]",results/main_pragmatic.json,$.systems.vistral_7b_sft.metrics.idiom_figurative.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vistral_7b_sft.implicit_sentiment,"Vistral-7B SFT implicit_sentiment = 59.59 [58.51, 60.67]",results/main_pragmatic.json,$.systems.vistral_7b_sft.metrics.implicit_sentiment.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vistral_7b_sft.irony,"Vistral-7B SFT irony = 97.05 [96.89, 97.22]",results/main_pragmatic.json,$.systems.vistral_7b_sft.metrics.irony.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vistral_7b_sft.macro_pragmatic_f1,"Vistral-7B SFT macro_pragmatic_f1 = 82.83 [82.65, 83.00]",results/main_pragmatic.json,$.systems.vistral_7b_sft.metrics.macro_pragmatic_f1.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vistral_7b_sft.mocking,"Vistral-7B SFT mocking = 81.98 [81.44, 82.52]",results/main_pragmatic.json,$.systems.vistral_7b_sft.metrics.mocking.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vistral_7b_sft.sarcasm,"Vistral-7B SFT sarcasm = 80.03 [79.79, 80.28]",results/main_pragmatic.json,$.systems.vistral_7b_sft.metrics.sarcasm.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_zero_shot.code_switching,"GPT-4.1-mini zero-shot code_switching = 62.32 [62.32, 62.32]",results/main_pragmatic.json,$.systems.gpt41_mini_zero_shot.metrics.code_switching.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_zero_shot.idiom_figurative,"GPT-4.1-mini zero-shot idiom_figurative = 74.12 [74.12, 74.12]",results/main_pragmatic.json,$.systems.gpt41_mini_zero_shot.metrics.idiom_figurative.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_zero_shot.implicit_sentiment,"GPT-4.1-mini zero-shot implicit_sentiment = 22.70 [22.70, 22.70]",results/main_pragmatic.json,$.systems.gpt41_mini_zero_shot.metrics.implicit_sentiment.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_zero_shot.irony,"GPT-4.1-mini zero-shot irony = 64.89 [64.89, 64.89]",results/main_pragmatic.json,$.systems.gpt41_mini_zero_shot.metrics.irony.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_zero_shot.macro_pragmatic_f1,"GPT-4.1-mini zero-shot macro_pragmatic_f1 = 60.67 [60.67, 60.67]",results/main_pragmatic.json,$.systems.gpt41_mini_zero_shot.metrics.macro_pragmatic_f1.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_zero_shot.mocking,"GPT-4.1-mini zero-shot mocking = 67.08 [67.08, 67.08]",results/main_pragmatic.json,$.systems.gpt41_mini_zero_shot.metrics.mocking.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_zero_shot.sarcasm,"GPT-4.1-mini zero-shot sarcasm = 72.90 [72.90, 72.90]",results/main_pragmatic.json,$.systems.gpt41_mini_zero_shot.metrics.sarcasm.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_8_shot.code_switching,"GPT-4.1-mini 8-shot code_switching = 59.62 [59.62, 59.62]",results/main_pragmatic.json,$.systems.gpt41_mini_8_shot.metrics.code_switching.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_8_shot.idiom_figurative,"GPT-4.1-mini 8-shot idiom_figurative = 94.42 [94.42, 94.42]",results/main_pragmatic.json,$.systems.gpt41_mini_8_shot.metrics.idiom_figurative.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_8_shot.implicit_sentiment,"GPT-4.1-mini 8-shot implicit_sentiment = 44.74 [44.74, 44.74]",results/main_pragmatic.json,$.systems.gpt41_mini_8_shot.metrics.implicit_sentiment.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_8_shot.irony,"GPT-4.1-mini 8-shot irony = 72.72 [72.72, 72.72]",results/main_pragmatic.json,$.systems.gpt41_mini_8_shot.metrics.irony.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_8_shot.macro_pragmatic_f1,"GPT-4.1-mini 8-shot macro_pragmatic_f1 = 69.23 [69.23, 69.23]",results/main_pragmatic.json,$.systems.gpt41_mini_8_shot.metrics.macro_pragmatic_f1.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_8_shot.mocking,"GPT-4.1-mini 8-shot mocking = 70.13 [70.13, 70.13]",results/main_pragmatic.json,$.systems.gpt41_mini_8_shot.metrics.mocking.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.gpt41_mini_8_shot.sarcasm,"GPT-4.1-mini 8-shot sarcasm = 73.73 [73.73, 73.73]",results/main_pragmatic.json,$.systems.gpt41_mini_8_shot.metrics.sarcasm.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vipragsent_full.code_switching,"ViPragSent (ours) code_switching = 47.63 [47.63, 47.63]",results/main_pragmatic.json,$.systems.vipragsent_full.metrics.code_switching.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vipragsent_full.idiom_figurative,"ViPragSent (ours) idiom_figurative = 97.24 [97.13, 97.34]",results/main_pragmatic.json,$.systems.vipragsent_full.metrics.idiom_figurative.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vipragsent_full.implicit_sentiment,"ViPragSent (ours) implicit_sentiment = 46.92 [46.92, 46.92]",results/main_pragmatic.json,$.systems.vipragsent_full.metrics.implicit_sentiment.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vipragsent_full.irony,"ViPragSent (ours) irony = 96.98 [96.70, 97.27]",results/main_pragmatic.json,$.systems.vipragsent_full.metrics.irony.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vipragsent_full.macro_pragmatic_f1,"ViPragSent (ours) macro_pragmatic_f1 = 73.75 [73.72, 73.78]",results/main_pragmatic.json,$.systems.vipragsent_full.metrics.macro_pragmatic_f1.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vipragsent_full.mocking,"ViPragSent (ours) mocking = 78.02 [77.70, 78.34]",results/main_pragmatic.json,$.systems.vipragsent_full.metrics.mocking.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Table2.vipragsent_full.sarcasm,"ViPragSent (ours) sarcasm = 75.69 [75.34, 76.04]",results/main_pragmatic.json,$.systems.vipragsent_full.metrics.sarcasm.mean,sha256:fbbe10b0ca70b269e4f4ff360bac50bf3d5033bfe19c308f0939ea21c2bb0aa3
Figure7.phobert_finetune.ece,PhoBERT fine-tune ECE = 0.089697,results/calibration.json,$.systems.phobert_finetune.ece,sha256:7c01983e42584a2ffe8ec377a4182aa964dc72202b0f147620bd8d4edb8ef15d
Figure7.vipragsent_full.ece,ViPragSent (ours) ECE = 0.067116,results/calibration.json,$.systems.vipragsent_full.ece,sha256:7c01983e42584a2ffe8ec377a4182aa964dc72202b0f147620bd8d4edb8ef15d
Figure7.xlmr_large.ece,XLM-R-large ECE = 0.145464,results/calibration.json,$.systems.xlmr_large.ece,sha256:7c01983e42584a2ffe8ec377a4182aa964dc72202b0f147620bd8d4edb8ef15d
Table8.confusion.diagonal.positive,positive diagonal recall = 66.87%,results/error_confusion.json,$.row_normalised[0][0],sha256:92acccacbe2526b69630bab66cca12a12e78b645a2401923d18c892f9e97a461
Table8.confusion.diagonal.negative,negative diagonal recall = 28.99%,results/error_confusion.json,$.row_normalised[1][1],sha256:92acccacbe2526b69630bab66cca12a12e78b645a2401923d18c892f9e97a461
Table8.confusion.diagonal.neutral,neutral diagonal recall = 79.76%,results/error_confusion.json,$.row_normalised[2][2],sha256:92acccacbe2526b69630bab66cca12a12e78b645a2401923d18c892f9e97a461
Table8.confusion.diagonal.ironic_positive,ironic-positive diagonal recall = 0.00%,results/error_confusion.json,$.row_normalised[3][3],sha256:92acccacbe2526b69630bab66cca12a12e78b645a2401923d18c892f9e97a461
Table8.confusion.diagonal.sarcastic_negative,sarcastic-negative diagonal recall = 55.04%,results/error_confusion.json,$.row_normalised[4][4],sha256:92acccacbe2526b69630bab66cca12a12e78b645a2401923d18c892f9e97a461
Table8.confusion.diagonal.mocking,mocking diagonal recall = 55.08%,results/error_confusion.json,$.row_normalised[5][5],sha256:92acccacbe2526b69630bab66cca12a12e78b645a2401923d18c892f9e97a461
Figure6.phobert_finetune.seed_20260520,PhoBERT fine-tune seed 20260520 peak development macro pragmatic F1 = 80.71,results/learning_curves.json,$.curves.phobert_finetune,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.phobert_finetune.seed_20260520,PhoBERT fine-tune seed 20260520 peak development macro pragmatic F1 = 46.87,results/learning_curves.json,$.curves.phobert_finetune,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.phobert_finetune.seed_20260520,PhoBERT fine-tune seed 20260520 peak development macro pragmatic F1 = 71.86,results/learning_curves.json,$.curves.phobert_finetune,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.phobert_finetune.seed_20260520,PhoBERT fine-tune seed 20260520 peak development macro pragmatic F1 = 77.87,results/learning_curves.json,$.curves.phobert_finetune,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.phobert_finetune.seed_20260520,PhoBERT fine-tune seed 20260520 peak development macro pragmatic F1 = 46.81,results/learning_curves.json,$.curves.phobert_finetune,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.phobert_finetune.seed_20260520,PhoBERT fine-tune seed 20260520 peak development macro pragmatic F1 = 81.47,results/learning_curves.json,$.curves.phobert_finetune,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.phobert_finetune.seed_20260521,PhoBERT fine-tune seed 20260521 peak development macro pragmatic F1 = 81.74,results/learning_curves.json,$.curves.phobert_finetune,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.phobert_finetune.seed_20260522,PhoBERT fine-tune seed 20260522 peak development macro pragmatic F1 = 81.77,results/learning_curves.json,$.curves.phobert_finetune,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_full.seed_20260520,ViPragSent (ours) seed 20260520 peak development macro pragmatic F1 = 72.91,results/learning_curves.json,$.curves.vipragsent_full,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_full.seed_20260520,ViPragSent (ours) seed 20260520 peak development macro pragmatic F1 = 47.24,results/learning_curves.json,$.curves.vipragsent_full,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_full.seed_20260520,ViPragSent (ours) seed 20260520 peak development macro pragmatic F1 = 46.81,results/learning_curves.json,$.curves.vipragsent_full,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_full.seed_20260520,ViPragSent (ours) seed 20260520 peak development macro pragmatic F1 = 71.03,results/learning_curves.json,$.curves.vipragsent_full,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_full.seed_20260520,ViPragSent (ours) seed 20260520 peak development macro pragmatic F1 = 47.47,results/learning_curves.json,$.curves.vipragsent_full,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_full.seed_20260520,ViPragSent (ours) seed 20260520 peak development macro pragmatic F1 = 73.45,results/learning_curves.json,$.curves.vipragsent_full,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_full.seed_20260521,ViPragSent (ours) seed 20260521 peak development macro pragmatic F1 = 73.35,results/learning_curves.json,$.curves.vipragsent_full,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_full.seed_20260522,ViPragSent (ours) seed 20260522 peak development macro pragmatic F1 = 73.54,results/learning_curves.json,$.curves.vipragsent_full,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_no_emotion.seed_20260520,vipragsent_no_emotion seed 20260520 peak development macro pragmatic F1 = 74.79,results/learning_curves.json,$.curves.vipragsent_no_emotion,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_no_polarity.seed_20260520,vipragsent_no_polarity seed 20260520 peak development macro pragmatic F1 = 73.13,results/learning_curves.json,$.curves.vipragsent_no_polarity,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_no_rationale.seed_20260520,vipragsent_no_rationale seed 20260520 peak development macro pragmatic F1 = 73.57,results/learning_curves.json,$.curves.vipragsent_no_rationale,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.vipragsent_no_uncertainty.seed_20260520,vipragsent_no_uncertainty seed 20260520 peak development macro pragmatic F1 = 73.49,results/learning_curves.json,$.curves.vipragsent_no_uncertainty,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.xlmr_large.seed_20260520,XLM-R-large seed 20260520 peak development macro pragmatic F1 = 79.93,results/learning_curves.json,$.curves.xlmr_large,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.xlmr_large.seed_20260521,XLM-R-large seed 20260521 peak development macro pragmatic F1 = 79.64,results/learning_curves.json,$.curves.xlmr_large,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Figure6.xlmr_large.seed_20260522,XLM-R-large seed 20260522 peak development macro pragmatic F1 = 81.22,results/learning_curves.json,$.curves.xlmr_large,sha256:999353003763a1c367391a48ffc3a238d5e4eb864c2371bdab7ed90d28806cb5
Table10.gpt41_mini_8_shot.seed_20260520,"GPT-4.1-mini 8-shot delta F1 versus ViPragSent = -4.4923 [-5.6920, -3.3581]",results/significance.json,$.comparisons.gpt41_mini_8_shot['20260520'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.gpt41_mini_zero_shot.seed_20260520,"GPT-4.1-mini zero-shot delta F1 versus ViPragSent = -13.0504 [-14.3446, -11.7727]",results/significance.json,$.comparisons.gpt41_mini_zero_shot['20260520'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.phobert_finetune.seed_20260520,"PhoBERT fine-tune delta F1 versus ViPragSent = 7.9995 [7.1033, 8.8370]",results/significance.json,$.comparisons.phobert_finetune['20260520'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.phobert_finetune.seed_20260521,"PhoBERT fine-tune delta F1 versus ViPragSent = 7.7394 [6.7638, 8.6954]",results/significance.json,$.comparisons.phobert_finetune['20260521'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.phobert_finetune.seed_20260522,"PhoBERT fine-tune delta F1 versus ViPragSent = 8.1594 [7.1736, 9.1800]",results/significance.json,$.comparisons.phobert_finetune['20260522'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.sailor_7b_sft.seed_20260520,"Sailor-7B SFT delta F1 versus ViPragSent = 8.6266 [7.7742, 9.5324]",results/significance.json,$.comparisons.sailor_7b_sft['20260520'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.sailor_7b_sft.seed_20260521,"Sailor-7B SFT delta F1 versus ViPragSent = 8.1732 [7.3222, 9.1033]",results/significance.json,$.comparisons.sailor_7b_sft['20260521'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.sailor_7b_sft.seed_20260522,"Sailor-7B SFT delta F1 versus ViPragSent = 8.5349 [7.6300, 9.4059]",results/significance.json,$.comparisons.sailor_7b_sft['20260522'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.vipragsent_no_emotion.seed_20260520,"vipragsent_no_emotion delta F1 versus ViPragSent = 1.0950 [0.4974, 1.7138]",results/significance.json,$.comparisons.vipragsent_no_emotion['20260520'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.vipragsent_no_polarity.seed_20260520,"vipragsent_no_polarity delta F1 versus ViPragSent = -0.3603 [-0.6682, -0.0781]",results/significance.json,$.comparisons.vipragsent_no_polarity['20260520'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.vipragsent_no_rationale.seed_20260520,"vipragsent_no_rationale delta F1 versus ViPragSent = -0.0747 [-0.2784, 0.1238]",results/significance.json,$.comparisons.vipragsent_no_rationale['20260520'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.vipragsent_no_uncertainty.seed_20260520,"vipragsent_no_uncertainty delta F1 versus ViPragSent = -0.0963 [-0.2962, 0.0875]",results/significance.json,$.comparisons.vipragsent_no_uncertainty['20260520'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.vistral_7b_sft.seed_20260520,"Vistral-7B SFT delta F1 versus ViPragSent = 9.2280 [8.3030, 10.2217]",results/significance.json,$.comparisons.vistral_7b_sft['20260520'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.vistral_7b_sft.seed_20260521,"Vistral-7B SFT delta F1 versus ViPragSent = 9.1111 [8.2749, 9.9917]",results/significance.json,$.comparisons.vistral_7b_sft['20260521'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.vistral_7b_sft.seed_20260522,"Vistral-7B SFT delta F1 versus ViPragSent = 8.8952 [7.8931, 9.8578]",results/significance.json,$.comparisons.vistral_7b_sft['20260522'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.xlmr_large.seed_20260520,"XLM-R-large delta F1 versus ViPragSent = 6.2695 [5.2123, 7.1802]",results/significance.json,$.comparisons.xlmr_large['20260520'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.xlmr_large.seed_20260521,"XLM-R-large delta F1 versus ViPragSent = 6.5058 [5.4954, 7.5367]",results/significance.json,$.comparisons.xlmr_large['20260521'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
Table10.xlmr_large.seed_20260522,"XLM-R-large delta F1 versus ViPragSent = 8.4333 [7.5688, 9.2795]",results/significance.json,$.comparisons.xlmr_large['20260522'].delta_macro_pragmatic_f1,sha256:b53c4b28537b5e188b91040b74ec19d6054f0c1f2982965fc05347ca41dba70b
